Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
NBL01NV,The Navy Noble,The Navy Noble,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBL02ST,The Stone Noble,The Stone Noble,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWP01WT,The White Newport,The White Newport,630291,,,,,,,,,,,,,,7,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWP02NV,The Navy Newport,The Navy Newport,630291,,,,,,,,,,,,,,7,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-JD,The Ribbed Bath Sheet in Jade,The Ribbed Bath Sheet in Jade,630291,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-LT,The Ribbed Bath Sheet in Latte,The Ribbed Bath Sheet in Latte,630260,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-SPA,The Ribbed Bath Sheet in Spa,The Ribbed Bath Sheet in Spa,630260,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-ST,The Ribbed Bath Sheet in Stone,The Ribbed Bath Sheet in Stone,630260,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-TC,The Ribbed Bath Sheet in Terracotta,The Ribbed Bath Sheet in Terracotta,630260,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BS-WT,The Ribbed Bath Sheet in White,The Ribbed Bath Sheet in White,630260,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-JD,The Ribbed Bath Towel in Jade,The Ribbed Bath Towel in Jade,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-LT,The Ribbed Bath Towel in Latte,The Ribbed Bath Towel in Latte,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-SPA,The Ribbed Bath Towel in Spa,The Ribbed Bath Towel in Spa,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-ST,The Ribbed Bath Towel in Stone,The Ribbed Bath Towel in Stone,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-TC,The Ribbed Bath Towel in Terracotta,The Ribbed Bath Towel in Terracotta,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-BT-WT,The Ribbed Bath Towel in White,The Ribbed Bath Towel in White,630260,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-HT-JD,The Ribbed Hand Towel in Jade,The Ribbed Hand Towel in Jade,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-HT-LT,The Ribbed Hand Towel in Latte,The Ribbed Hand Towel in Latte,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-HT-SPA,The Ribbed Hand Towel in Spa,The Ribbed Hand Towel in Spa,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-HT-ST,The Ribbed Hand Towel in Stone,The Ribbed Hand Towel in Stone,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-HT-TC,The Ribbed Hand Towel in Terracotta,The Ribbed Hand Towel in Terracotta,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
