Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Blank,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
Char(30),Char(50),Char(70),Char(13),Char(10),Char(10),Char(3),Char(3),Char(3),Char(10),Char(3),Char(10),Char(6),N(8.5),Char(1),Char(3),Char(3),N(14.5),Char(3),Char(10),Char(10),Yes/No,N(8.5),Char(3),Char(15),Char(5),Char(10),Char(1),,Char(20),,Char(20),99/99/99,99/99/99,Char(20),Char(20),Char(3),Char(16),Char(10),Char(6),Char(7),Leave Blank,N(3.2),99/99/99,N(8.5),Yes/No,Char(120),Char(3),N(8.5),Char(1),Char(10),Char(20),Char(3),Char(20),Char(20),Char(20),Char(4),Char(6),Char(10),Char(3),Char(25),Char(25),Char(15),Char(25),Char(10),Char(3),Char(3),Char(3),N(8.5),Char(1),Char(3),99/99/99,99/99/99,99/99/99,99/99/99,Char(3),Char(3),N(10.5),Char(40),Char(25),0,%,?,,
"Column_A, Teema_Sample_Data.csv","Column_B, Teema_Sample_Data.csv","Column_B, Teema_Sample_Data.csv","Column_F, Teema_Sample_Data.csv",_GEN,_GEN,_GN,02,CA,001,,LIBRARY IN ITMR,SIMA,,,,,"Column_C, Teema_Sample_Data.csv",KGM,,,NO,,KGM,HSXXXX,,,,,,,CERT ORG CAT LIBRARY IN ITM,YY/MM/DD,YY/MM/DD,,,"Column_F, Teema_Sample_Data.csv",REFER TO OIC LIBRARY IN ITM,,CERT ORG CAT LIBRARY IN ITM,,,,,,NO,FREE TEXT,OK,,,,,13,,,,,,,,,,,,,,,,,,,,,,,UOM LIBRABRY,,,,,,,,,
